,neighborhood,total_count
0,Homewood South,168
1,South Side Flats,119
2,Homewood North,90
3,Larimer,88
4,Carrick,86
5,Hazelwood,85
6,Perry South,83
7,Central Business District,80
8,Sheraden,80
9,Marshall-Shadeland,78
10,Lincoln-Lemington-Belmar,73
11,Garfield,66
12,Middle Hill,65
13,Knoxville,65
14,Mount Washington,59
15,East Hills,57
16,Brighton Heights,54
17,East Liberty,54
18,Bedford Dwellings,52
19,Manchester,51
20,Allentown,48
21,Central Northside,48
22,Beechview,46
23,Spring Hill-City View,46
24,Fineview,40
25,East Allegheny,38
26,Crawford-Roberts,37
27,Brookline,37
28,Northview Heights,37
29,Homewood West,36
30,Beltzhoover,36
31,Bluff,34
32,South Side Slopes,34
33,Terrace Village,33
34,Bloomfield,30
