_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
0,"1700 BLOCK ARLINGTON AVE PITTSBURGH, PA 15210",2,0,1,1,0,0,2015,1,0,Mount Oliver Borough,3,0,42003170600,0,3,4-6,40.41761899,-79.98643577
1,"BREVET WAY & MINTON ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2015,1,0,Sheraden,2,20,42003562500,5,6,1-16,40.45690363,-80.05232761
2,"TERRACE ST & WHITRIDGE ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2015,1,0,Terrace Village,6,4,42003051000,3,2,2-10,40.44118517,-79.96852675
3,"3500 BLOCK GERBER AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,1,0,Brighton Heights,1,27,42003270300,1,1,1-14,40.47953016,-80.03347735
4,"7500 BLOCK KELLY ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,1,0,,,,,,5,,,
5,"1900 BLOCK 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,1,0,Westwood,2,28,42003563100,5,6,1-18,40.43598384,-80.05204205
6,"400 BLOCK S NEGLEY AVE PITTSBURGH, PA 15232",1,0,1,0,0,0,2015,1,1,East Liberty,9,11,42003111500,2,5,3-8,40.46677055,-79.92823957
7,"5200 BLOCK DRESDEN WAY PITTSBURGH, PA 15201",2,0,2,0,0,0,2015,1,1,Upper Lawrenceville,7,10,42003101100,2,2,3-5,40.4801469,-79.95401361
8,"1100 BLOCK GRAND AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,1,1,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.47498641,-80.02752792
9,"1600 BLOCK FALLOWFIELD AVE PITTSBURGH, PA 15216",1,0,1,0,0,0,2015,1,1,Beechview,4,19,42003192000,5,6,4-28,40.4104873,-80.023969
10,"8600 BLOCK BRICELYN ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,1,1,East Hills,9,13,42003130600,2,5,3-17,40.45786477,-79.87435923
11,"3000 BLOCK VENSEL WAY PITTSBURGH, PA 15212",2,0,1,1,0,0,2015,1,2,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.47198713,-80.02875598
12,"200 BLOCK ERIN ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,1,2,Arlington,3,16,42003561600,3,3,4-8,40.41567042,-79.9688546
13,"3100 BLOCK CORDELL PL PITTSBURGH, PA 15203",1,0,0,0,1,0,2015,1,2,Arlington Heights,3,16,42003561600,3,3,4-8,40.41771717,-79.96345297
14,"200 BLOCK BAILEY AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2015,1,2,Mount Washington,3,18,42003180700,5,3,4-5,40.42697296,-80.00350333
15,"6100 BLOCK ST MARIE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,1,2,East Liberty,9,11,42003111300,2,5,3-8,40.46816413,-79.91915193
16,"SARAH ST & S 21ST ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2015,1,3,South Side Flats,3,16,42003160900,3,3,4-24,40.42759647,-79.97634777
17,"5100 BLOCK GLOSTER ST PITTSBURGH, PA 15207",2,0,0,2,0,0,2015,1,3,Hazelwood,5,15,42003562900,3,4,2-13,40.40681316,-79.94429282
18,"7500 BLOCK HAMILTON AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,1,3,Homewood South,9,13,42003130300,2,5,3-17,40.45347654,-79.89247778
19,"4200 BLOCK MURRAY AVE PITTSBURGH, PA 15217",1,0,0,1,0,0,2015,1,3,Greenfield,5,15,42003151700,3,4,2-15,40.42318969,-79.92867392
20,"BAUM BLVD & S AIKEN AVE PITTSBURGH, PA 15224",1,0,0,1,0,0,2015,1,4,Bloomfield,7,8,42003080600,2,5,3-23,40.45694076,-79.93853965
