neighborhood,total_count
Homewood South,168
South Side Flats,119
Homewood North,90
Larimer,88
Carrick,86
Hazelwood,85
Perry South,83
Central Business District,80
Sheraden,80
Marshall-Shadeland,78
Lincoln-Lemington-Belmar,73
Garfield,66
Middle Hill,65
Knoxville,65
Mount Washington,59
East Hills,57
Brighton Heights,54
East Liberty,54
Bedford Dwellings,52
Manchester,51
Allentown,48
Central Northside,48
Beechview,46
Spring Hill-City View,46
Fineview,40
East Allegheny,38
Crawford-Roberts,37
Brookline,37
Northview Heights,37
Homewood West,36
Beltzhoover,36
Bluff,34
South Side Slopes,34
Terrace Village,33
Bloomfield,30
